0 0.31663167
1 0.30351743
2 0.29093772
3 0.27887088
4 0.26728502
5 0.25617194
6 0.2455233
7 0.23532027
8 0.2255241
9 0.21611887
10 0.20710933
11 0.1984796
12 0.1901951
13 0.18225183
14 0.17463663
15 0.16733634
16 0.16034776
17 0.15364942
18 0.14722994
19 0.14106989
20 0.13515928
21 0.12950513
22 0.1240971
23 0.11890936
24 0.11394109
25 0.10919152
26 0.10464412
27 0.10028349
28 0.09610962
29 0.092115305
30 0.08829315
31 0.084643364
32 0.081151895
33 0.077812396
34 0.074612215
35 0.0715459
36 0.06862088
37 0.06583124
38 0.063159004
39 0.06059955
40 0.05816017
41 0.055835746
42 0.05361559
43 0.051489845
44 0.049454726
45 0.04751203
46 0.04565785
47 0.04388843
48 0.042200167
49 0.040594496
