0 0.09829688
1 0.06862968
2 0.049843095
3 0.037696127
4 0.029705506
5 0.024366569
6 0.020744001
7 0.018245168
8 0.016488899
9 0.015227286
10 0.014297513
11 0.013591943
12 0.013038948
13 0.012590637
14 0.01221484
15 0.011889886
16 0.011601077
17 0.01133847
18 0.011095261
19 0.010866787
20 0.010649851
21 0.010442253
22 0.010242417
23 0.010049282
24 0.009862048
25 0.0096801575
26 0.009503191
27 0.009330828
28 0.009162819
29 0.0089989705
30 0.008839112
31 0.008683103
32 0.008530819
33 0.008382152
34 0.008236994
35 0.008095251
36 0.007956832
37 0.007821653
38 0.007689637
39 0.0075606937
40 0.0074347574
41 0.0073117404
42 0.0071915817
43 0.0070742182
44 0.0069595543
45 0.0068526617
46 0.00674787
47 0.0066483007
48 0.0065477327
49 0.0064542503
